Search Results: 2020 
FIPS code,State,County,Jurisdiction,Jurisdiction Type,Make,Model,Equipment Type,VVPAT,Polling Place,Accessible Use,Early Voting,Absentee Ballots
"0200000000","Alaska","","Alaska","State","Dominion Voting Systems","ImageCast Precinct","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0200000000","Alaska","","Alaska","State","Dominion Voting Systems","ImageCast Precinct","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0200000000","Alaska","","Alaska","State","Not Applicable","Not Applicable","Hand Counted Paper Ballots","N/A","Yes","No","Yes","No",
"0200000000","Alaska","","Alaska","State","Not Applicable","Not Applicable","Hand Counted Paper Ballots","N/A","Yes","No","Yes","No",
"0200000000","Alaska","","Alaska","State","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0200000000","Alaska","","Alaska","State","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0200000000","Alaska","","Alaska","State","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0200000000","Alaska","","Alaska","State","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0200000000","Alaska","","Alaska","State","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0200000000","Alaska","","Alaska","State","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0200000000","Alaska","","Alaska","State","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0200000000","Alaska","","Alaska","State","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0100100000","Alabama","Autauga","Autauga County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0100100000","Alabama","Autauga","Autauga County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0100100000","Alabama","Autauga","Autauga County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0100100000","Alabama","Autauga","Autauga County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0100300000","Alabama","Baldwin","Baldwin County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0100300000","Alabama","Baldwin","Baldwin County","County","Election Systems & Software","ExpressVote","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0100300000","Alabama","Baldwin","Baldwin County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0100300000","Alabama","Baldwin","Baldwin County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0100500000","Alabama","Barbour","Barbour County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0100500000","Alabama","Barbour","Barbour County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0100500000","Alabama","Barbour","Barbour County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0100500000","Alabama","Barbour","Barbour County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0100700000","Alabama","Bibb","Bibb County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0100700000","Alabama","Bibb","Bibb County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0100700000","Alabama","Bibb","Bibb County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0100700000","Alabama","Bibb","Bibb County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0100900000","Alabama","Blount","Blount County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0100900000","Alabama","Blount","Blount County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0100900000","Alabama","Blount","Blount County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0100900000","Alabama","Blount","Blount County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0101100000","Alabama","Bullock","Bullock County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0101100000","Alabama","Bullock","Bullock County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0101100000","Alabama","Bullock","Bullock County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","No","No",
"0101100000","Alabama","Bullock","Bullock County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0101300000","Alabama","Butler","Butler County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0101300000","Alabama","Butler","Butler County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0101300000","Alabama","Butler","Butler County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0101300000","Alabama","Butler","Butler County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0101500000","Alabama","Calhoun","Calhoun County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0101500000","Alabama","Calhoun","Calhoun County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0101500000","Alabama","Calhoun","Calhoun County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
